"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 07, 2023","16,943.6","16,950.9","16,979.6","16,909.7","110.48K","-0.04%"
"Jan 06, 2023","16,950.9","16,829.8","17,012.3","16,707.6","233.47K","0.72%"
"Jan 05, 2023","16,829.8","16,852.2","16,877.9","16,772.3","178.96K","-0.13%"
"Jan 04, 2023","16,852.1","16,674.2","16,976.5","16,656.5","247.39K","1.07%"
"Jan 03, 2023","16,674.2","16,673.1","16,773.2","16,607.2","178.73K","-0.00%"
"Jan 02, 2023","16,674.3","16,618.4","16,766.9","16,551.0","136.03K","0.34%"
"Jan 01, 2023","16,618.4","16,537.5","16,621.9","16,499.7","107.84K","0.49%"
"Dec 31, 2022","16,537.4","16,607.2","16,635.9","16,487.3","130.44K","-0.42%"
"Dec 30, 2022","16,607.2","16,636.4","16,644.4","16,360.0","192.76K","-0.18%"
"Dec 29, 2022","16,636.4","16,546.2","16,659.1","16,496.6","181.47K","0.55%"
"Dec 28, 2022","16,546.2","16,705.9","16,781.1","16,474.2","217.96K","-0.96%"
"Dec 27, 2022","16,706.1","16,918.2","16,964.0","16,610.1","192.18K","-1.25%"
"Dec 26, 2022","16,918.1","16,831.8","16,936.1","16,799.4","133.36K","0.51%"
"Dec 25, 2022","16,831.8","16,835.7","16,852.9","16,733.0","132.89K","-0.03%"
"Dec 24, 2022","16,837.2","16,778.6","16,855.8","16,777.8","110.12K","0.35%"
"Dec 23, 2022","16,779.1","16,820.5","16,910.7","16,768.0","184.12K","-0.25%"
"Dec 22, 2022","16,820.6","16,831.8","16,862.2","16,566.1","198.28K","-0.07%"
"Dec 21, 2022","16,831.8","16,902.7","16,919.4","16,735.0","174.34K","-0.42%"
"Dec 20, 2022","16,902.8","16,441.3","17,031.3","16,400.7","284.57K","2.81%"
"Dec 19, 2022","16,441.3","16,741.1","16,809.5","16,331.2","207.93K","-1.79%"
"Dec 18, 2022","16,741.1","16,777.0","16,825.7","16,666.5","124.29K","-0.21%"
"Dec 17, 2022","16,777.1","16,629.0","16,794.4","16,587.0","164.49K","0.89%"
"Dec 16, 2022","16,629.6","17,356.7","17,518.5","16,542.4","303.56K","-4.19%"
"Dec 15, 2022","17,356.1","17,796.4","17,846.1","17,298.2","263.44K","-2.47%"
"Dec 14, 2022","17,796.4","17,778.6","18,351.8","17,682.1","318.98K","0.10%"
"Dec 13, 2022","17,778.6","17,210.9","17,951.6","17,094.5","328.71K","3.30%"
"Dec 12, 2022","17,210.4","17,093.2","17,232.5","16,878.5","249.39K","0.68%"
"Dec 11, 2022","17,093.3","17,127.0","17,262.9","17,080.6","167.20K","-0.20%"
"Dec 10, 2022","17,127.2","17,125.7","17,220.5","17,105.7","148.81K","0.01%"
"Dec 09, 2022","17,125.7","17,225.6","17,288.6","17,082.1","260.84K","-0.58%"
"Dec 08, 2022","17,225.7","16,835.2","17,294.2","16,765.8","261.64K","2.32%"
"Dec 07, 2022","16,835.2","17,089.4","17,126.7","16,715.3","244.36K","-1.49%"
"Dec 06, 2022","17,089.3","16,966.3","17,101.1","16,914.9","246.19K","0.72%"
"Dec 05, 2022","16,966.5","17,106.9","17,395.2","16,886.9","268.72K","-0.85%"
"Dec 04, 2022","17,112.6","16,884.8","17,198.1","16,881.6","197.12K","1.35%"
"Dec 03, 2022","16,884.5","17,093.4","17,132.6","16,862.1","169.29K","-1.22%"
"Dec 02, 2022","17,093.6","16,972.2","17,096.2","16,799.9","227.01K","0.72%"
"Dec 01, 2022","16,972.0","17,163.4","17,244.7","16,868.9","266.14K","-1.12%"
"Nov 30, 2022","17,163.9","16,440.8","17,215.5","16,433.2","348.22K","4.40%"
"Nov 29, 2022","16,440.4","16,211.9","16,531.4","16,100.1","271.58K","1.41%"
"Nov 28, 2022","16,211.7","16,426.1","16,481.4","16,013.5","284.84K","-1.30%"
"Nov 27, 2022","16,425.6","16,456.4","16,595.4","16,414.6","173.25K","-0.19%"
"Nov 26, 2022","16,456.5","16,512.3","16,686.3","16,387.9","194.94K","-0.34%"
"Nov 25, 2022","16,512.3","16,600.6","16,611.8","16,360.9","204.07K","-0.54%"
"Nov 24, 2022","16,601.2","16,604.9","16,785.6","16,472.0","229.59K","-0.14%"
"Nov 23, 2022","16,623.9","16,216.9","16,677.6","16,162.3","305.08K","2.53%"
"Nov 22, 2022","16,212.9","15,776.6","16,274.6","15,620.4","287.21K","2.77%"
"Nov 21, 2022","15,776.2","16,278.6","16,287.9","15,504.2","372.15K","-3.13%"
"Nov 20, 2022","16,286.7","16,699.3","16,749.3","16,209.2","172.83K","-2.47%"
"Nov 19, 2022","16,699.2","16,652.2","16,814.9","16,608.9","114.89K","0.37%"
"Nov 18, 2022","16,638.3","16,715.4","16,846.3","16,553.0","241.96K","-0.32%"
"Nov 17, 2022","16,691.2","16,540.5","16,739.7","16,425.8","257.00K","0.91%"
"Nov 16, 2022","16,540.5","16,895.4","16,993.4","16,408.2","295.73K","-2.10%"
"Nov 15, 2022","16,895.1","16,615.0","17,112.0","16,543.9","337.15K","1.69%"
"Nov 14, 2022","16,613.7","16,325.0","17,158.4","15,834.0","442.46K","1.77%"
"Nov 13, 2022","16,324.5","16,803.9","16,946.5","16,274.9","210.80K","-2.80%"
"Nov 12, 2022","16,795.2","17,049.9","17,100.8","16,633.9","192.91K","-1.49%"
"Nov 11, 2022","17,049.9","17,589.1","17,679.4","16,435.5","466.35K","-3.07%"
"Nov 10, 2022","17,589.1","15,887.0","18,138.2","15,799.3","720.74K","10.71%"
"Nov 09, 2022","15,886.9","18,538.9","18,583.8","15,603.3","869.57K","-14.25%"
"Nov 08, 2022","18,527.4","20,589.0","20,667.5","17,260.0","865.10K","-10.01%"
"Nov 07, 2022","20,589.0","20,916.3","21,055.4","20,410.5","414.24K","-1.56%"
"Nov 06, 2022","20,916.3","21,298.7","21,360.4","20,901.0","242.26K","-1.81%"
"Nov 05, 2022","21,301.6","21,145.7","21,464.7","21,084.1","261.23K","0.74%"
"Nov 04, 2022","21,145.9","20,206.4","21,281.9","20,184.6","499.50K","4.65%"
"Nov 03, 2022","20,206.4","20,154.0","20,384.5","20,066.6","347.23K","0.26%"
"Nov 02, 2022","20,154.4","20,482.9","20,778.3","20,065.8","420.23K","-1.61%"
"Nov 01, 2022","20,483.5","20,496.1","20,676.6","20,348.1","302.72K","-0.06%"
"Oct 31, 2022","20,496.3","20,626.0","20,822.4","20,260.0","327.47K","-0.63%"
"Oct 30, 2022","20,626.3","20,809.4","20,922.3","20,522.5","207.63K","-0.88%"
"Oct 29, 2022","20,809.8","20,594.2","21,038.1","20,561.9","276.54K","1.05%"
"Oct 28, 2022","20,594.4","20,293.0","20,744.0","20,058.2","318.90K","1.49%"
"Oct 27, 2022","20,292.9","20,769.5","20,867.9","20,231.6","365.49K","-2.29%"
"Oct 26, 2022","20,769.5","20,086.8","20,981.5","20,062.9","427.99K","3.42%"
"Oct 25, 2022","20,082.7","19,331.8","20,406.9","19,249.0","371.54K","3.89%"
"Oct 24, 2022","19,331.5","19,571.2","19,588.6","19,177.2","286.94K","-1.22%"
"Oct 23, 2022","19,571.2","19,204.8","19,680.9","19,092.5","180.63K","1.91%"
"Oct 22, 2022","19,204.8","19,162.6","19,249.9","19,116.1","118.24K","0.22%"
"Oct 21, 2022","19,162.6","19,042.9","19,245.5","18,703.3","294.66K","0.63%"
"Oct 20, 2022","19,042.9","19,125.1","19,334.5","18,935.6","253.20K","-0.42%"
"Oct 19, 2022","19,123.9","19,328.2","19,358.6","19,101.2","209.28K","-1.06%"
"Oct 18, 2022","19,328.2","19,548.4","19,692.9","19,102.8","290.07K","-1.13%"
"Oct 17, 2022","19,548.2","19,262.2","19,663.5","19,163.6","248.40K","1.49%"
"Oct 16, 2022","19,261.9","19,068.8","19,411.9","19,066.0","140.95K","1.01%"
"Oct 15, 2022","19,068.7","19,181.7","19,218.7","19,000.8","123.66K","-0.59%"
"Oct 14, 2022","19,181.8","19,379.8","19,933.9","19,098.6","400.45K","-1.02%"
"Oct 13, 2022","19,379.8","19,154.6","19,494.4","18,207.9","455.13K","1.17%"
"Oct 12, 2022","19,154.8","19,058.5","19,212.6","19,010.6","242.18K","0.50%"
"Oct 11, 2022","19,059.1","19,134.3","19,261.3","18,868.7","288.57K","-0.39%"
"Oct 10, 2022","19,134.6","19,441.7","19,520.7","19,057.0","243.77K","-1.58%"
"Oct 09, 2022","19,441.0","19,416.3","19,552.1","19,329.6","127.53K","0.13%"
"Oct 08, 2022","19,415.0","19,530.2","19,612.2","19,274.7","113.50K","-0.60%"
"Oct 07, 2022","19,531.3","19,962.4","20,051.4","19,352.1","263.50K","-2.13%"
"Oct 06, 2022","19,956.7","20,157.5","20,436.7","19,873.7","370.60K","-1.00%"
"Oct 05, 2022","20,157.5","20,340.5","20,353.8","19,761.7","352.76K","-0.90%"
"Oct 04, 2022","20,340.2","19,629.7","20,436.1","19,506.4","368.17K","3.63%"
"Oct 03, 2022","19,628.3","19,057.6","19,676.0","19,001.3","333.03K","3.02%"
"Oct 02, 2022","19,052.2","19,311.9","19,389.9","18,937.3","222.82K","-1.34%"
"Oct 01, 2022","19,311.9","19,422.9","19,480.3","19,172.6","173.91K","-0.57%"
"Sep 30, 2022","19,423.0","19,593.4","20,174.9","19,208.9","490.29K","-0.87%"
"Sep 29, 2022","19,593.0","19,420.2","19,631.5","18,877.9","449.57K","0.94%"
"Sep 28, 2022","19,411.0","19,083.4","19,757.8","18,505.3","581.19K","1.73%"
"Sep 27, 2022","19,081.0","19,228.8","20,361.2","18,850.4","660.12K","-0.75%"
"Sep 26, 2022","19,225.7","18,803.1","19,304.8","18,695.2","516.03K","2.25%"
"Sep 25, 2022","18,803.2","18,925.1","19,125.1","18,659.6","209.71K","-0.64%"
"Sep 24, 2022","18,925.2","19,288.4","19,310.6","18,812.0","258.50K","-1.91%"
"Sep 23, 2022","19,293.5","19,404.1","19,477.3","18,554.8","431.15K","-0.57%"
"Sep 22, 2022","19,404.0","18,488.1","19,490.9","18,371.0","448.63K","4.95%"
"Sep 21, 2022","18,489.0","18,875.1","19,758.4","18,191.8","446.85K","-2.03%"
"Sep 20, 2022","18,872.4","19,538.9","19,626.3","18,742.6","361.18K","-3.41%"
"Sep 19, 2022","19,538.9","19,417.4","19,666.6","18,277.8","423.43K","0.62%"
"Sep 18, 2022","19,418.8","20,113.9","20,113.9","19,347.7","273.11K","-3.45%"
"Sep 17, 2022","20,113.5","19,802.8","20,178.6","19,761.0","204.58K","1.57%"
"Sep 16, 2022","19,802.4","19,701.9","19,883.0","19,352.9","315.59K","0.51%"
"Sep 15, 2022","19,701.7","20,222.3","20,321.4","19,532.3","358.42K","-2.58%"
"Sep 14, 2022","20,222.5","20,175.5","20,503.7","19,654.2","374.22K","0.23%"
"Sep 13, 2022","20,175.5","22,395.3","22,702.5","19,909.6","485.32K","-9.91%"
"Sep 12, 2022","22,395.3","21,836.6","22,465.4","21,581.6","431.98K","2.57%"
"Sep 11, 2022","21,834.9","21,650.4","21,836.4","21,363.0","297.12K","0.85%"
"Sep 10, 2022","21,650.4","21,363.8","21,790.6","21,139.9","331.12K","1.33%"
"Sep 09, 2022","21,365.2","19,318.8","21,545.7","19,294.1","480.37K","10.60%"
"Sep 08, 2022","19,317.4","19,281.5","19,444.7","19,034.5","291.43K","0.19%"
"Sep 07, 2022","19,281.5","18,786.3","19,445.9","18,548.4","319.10K","2.64%"
"Sep 06, 2022","18,786.4","19,793.4","20,169.3","18,723.3","402.43K","-5.09%"
"Sep 05, 2022","19,793.1","19,999.9","20,042.9","19,650.7","238.71K","-1.03%"
"Sep 04, 2022","19,999.9","19,832.2","20,017.8","19,594.7","158.27K","0.85%"
"Sep 03, 2022","19,831.4","19,952.8","20,043.8","19,660.7","157.85K","-0.61%"
"Sep 02, 2022","19,952.7","20,131.6","20,428.2","19,764.7","272.22K","-0.86%"
"Sep 01, 2022","20,126.1","20,049.9","20,202.7","19,584.4","275.08K","0.41%"
"Aug 31, 2022","20,043.9","19,793.4","20,469.1","19,793.4","318.17K","1.27%"
"Aug 30, 2022","19,792.6","20,295.6","20,558.2","19,559.7","308.41K","-2.48%"
"Aug 29, 2022","20,295.8","19,551.3","20,394.5","19,551.2","248.04K","3.81%"
"Aug 28, 2022","19,550.2","20,034.2","20,150.8","19,542.9","159.60K","-2.41%"
"Aug 27, 2022","20,033.9","20,249.9","20,343.6","19,849.8","187.34K","-1.07%"
"Aug 26, 2022","20,249.9","21,564.2","21,815.3","20,122.4","322.16K","-6.10%"
"Aug 25, 2022","21,565.4","21,365.4","21,801.2","21,324.8","190.15K","0.94%"
"Aug 24, 2022","21,365.2","21,516.2","21,832.3","21,171.1","202.40K","-0.71%"
"Aug 23, 2022","21,517.2","21,416.5","21,661.0","20,919.6","228.65K","0.47%"
"Aug 22, 2022","21,416.3","21,516.8","21,517.4","20,912.1","251.83K","-0.47%"
"Aug 21, 2022","21,517.2","21,138.9","21,692.4","21,077.4","177.52K","1.79%"
"Aug 20, 2022","21,138.9","20,830.7","21,357.4","20,784.8","206.94K","1.48%"
"Aug 19, 2022","20,831.3","23,201.6","23,202.3","20,807.8","339.47K","-10.22%"
"Aug 18, 2022","23,203.6","23,337.7","23,578.0","23,131.3","160.97K","-0.58%"
"Aug 17, 2022","23,338.0","23,855.8","24,423.5","23,191.6","239.53K","-2.17%"
"Aug 16, 2022","23,856.8","24,102.6","24,240.8","23,693.8","201.70K","-1.02%"
"Aug 15, 2022","24,101.7","24,303.3","25,205.7","23,784.5","279.28K","-0.83%"
"Aug 14, 2022","24,302.8","24,442.1","24,997.3","24,172.2","177.25K","-0.57%"
"Aug 13, 2022","24,442.5","24,398.9","24,882.9","24,318.7","170.59K","0.18%"
"Aug 12, 2022","24,398.7","23,935.3","24,440.8","23,616.4","194.96K","1.94%"
"Aug 11, 2022","23,935.3","23,963.3","24,873.5","23,864.0","285.36K","-0.12%"
"Aug 10, 2022","23,962.9","23,150.3","24,209.9","22,714.7","243.61K","3.53%"
"Aug 09, 2022","23,146.7","23,818.1","23,912.0","22,886.5","169.62K","-2.81%"
"Aug 08, 2022","23,816.3","23,175.3","24,234.1","23,160.6","197.94K","2.77%"
"Aug 07, 2022","23,175.3","22,944.2","23,387.7","22,852.3","99.36K","1.01%"
"Aug 06, 2022","22,944.2","23,308.2","23,344.4","22,923.6","94.44K","-1.56%"
"Aug 05, 2022","23,308.2","22,613.3","23,447.6","22,593.5","208.90K","3.08%"
"Aug 04, 2022","22,612.1","22,822.2","23,214.5","22,438.7","181.19K","-0.91%"
"Aug 03, 2022","22,820.8","22,988.7","23,623.7","22,698.6","174.66K","-0.73%"
"Aug 02, 2022","22,988.6","23,271.1","23,423.3","22,670.8","177.30K","-1.21%"
"Aug 01, 2022","23,271.2","23,303.4","23,484.4","22,863.8","162.33K","-0.14%"
"Jul 31, 2022","23,303.4","23,634.2","24,179.3","23,236.2","138.84K","-1.40%"
"Jul 30, 2022","23,634.2","23,774.2","24,605.3","23,521.8","168.72K","-0.59%"
"Jul 29, 2022","23,774.3","23,850.2","24,340.0","23,451.4","221.66K","-0.32%"
"Jul 28, 2022","23,850.0","22,957.7","24,190.5","22,611.6","268.32K","3.88%"
"Jul 27, 2022","22,958.3","21,248.0","23,027.8","21,047.5","242.66K","8.05%"
"Jul 26, 2022","21,248.7","21,301.6","21,322.3","20,737.3","201.57K","-0.25%"
"Jul 25, 2022","21,301.9","22,582.3","22,653.3","21,275.4","206.93K","-5.67%"
"Jul 24, 2022","22,582.1","22,449.8","22,987.9","22,281.3","126.66K","0.54%"
"Jul 23, 2022","22,460.4","22,683.6","22,991.0","21,971.7","137.42K","-0.95%"
"Jul 22, 2022","22,675.2","23,150.0","23,741.4","22,524.2","197.54K","-2.06%"
"Jul 21, 2022","23,153.0","23,219.9","23,403.8","22,360.2","217.08K","-0.27%"
"Jul 20, 2022","23,215.2","23,412.0","24,258.0","22,944.4","281.31K","-0.83%"
"Jul 19, 2022","23,410.2","22,529.3","23,757.3","21,581.8","308.91K","3.93%"
"Jul 18, 2022","22,525.8","20,785.6","22,714.9","20,770.6","279.72K","8.37%"
"Jul 17, 2022","20,785.6","21,209.8","21,654.4","20,755.2","132.81K","-2.00%"
"Jul 16, 2022","21,209.9","20,825.2","21,561.3","20,484.4","136.89K","1.85%"
"Jul 15, 2022","20,825.1","20,586.1","21,178.1","20,393.4","164.67K","1.16%"
"Jul 14, 2022","20,586.0","20,250.0","20,862.2","19,664.9","205.28K","1.66%"
"Jul 13, 2022","20,250.0","19,331.6","20,250.8","18,942.2","249.38K","4.75%"
"Jul 12, 2022","19,330.9","19,963.2","20,051.7","19,279.6","167.91K","-3.17%"
"Jul 11, 2022","19,963.2","20,847.2","20,855.0","19,897.0","160.20K","-4.24%"
"Jul 10, 2022","20,847.4","21,587.4","21,599.2","20,689.7","204.68K","-3.43%"
"Jul 09, 2022","21,587.5","21,610.4","21,944.1","21,338.4","190.11K","-0.11%"
"Jul 08, 2022","21,611.2","21,637.1","22,482.1","21,207.0","439.90K","-0.12%"
"Jul 07, 2022","21,637.8","20,557.9","21,817.8","20,282.7","115.81K","5.24%"
"Jul 06, 2022","20,561.1","20,180.4","20,654.9","19,785.3","105.24K","1.78%"
"Jul 05, 2022","20,200.6","20,215.8","20,706.9","19,315.4","122.43K","-0.08%"
"Jul 04, 2022","20,215.8","19,310.6","20,303.8","19,052.5","92.79K","4.69%"
"Jul 03, 2022","19,309.9","19,243.4","19,626.4","18,794.4","65.27K","0.35%"
"Jul 02, 2022","19,243.2","19,275.4","19,425.4","19,006.4","58.57K","-0.10%"
"Jul 01, 2022","19,262.9","19,926.6","20,785.6","18,980.1","150.18K","-3.33%"
"Jun 30, 2022","19,926.6","20,111.3","20,155.1","18,682.7","127.73K","-0.92%"
"Jun 29, 2022","20,111.3","20,278.0","20,415.8","19,880.7","98.97K","-0.82%"
"Jun 28, 2022","20,278.0","20,727.9","21,200.2","20,210.5","83.83K","-2.18%"
